subject_id,block,sentence_n,trialtime,x,y
0,2,2,10714.8867,0,1
0,2,2,11260.2422,1,1
0,2,2,11723.0677,0,5
0,2,2,12354.2845,2,7
0,2,2,12860.1397,0,2
0,2,2,13544.6493,3,5
0,2,2,14037.7683,0,1
0,2,2,14780.8167,0,7
0,2,2,15169.672,1,10
0,2,2,15715.0965,2,10
0,2,2,16065.3004,1,9
0,2,2,16307.3022,1,9
0,2,2,16782.4205,3,5
0,2,2,17209.4466,2,8
0,2,2,18238.7906,0,8
0,2,2,18682.7268,2,5
0,2,2,19456.395,0,2
0,2,2,19923.4682,3,5
0,2,2,20367.4044,0,7
0,2,2,20745.7328,2,7
0,2,2,21407.2284,0,4
0,2,2,22083.0901,0,8
0,2,2,22550.1633,3,5
0,2,2,22977.1894,0,4
0,2,2,23366.0447,1,6
0,2,2,24046.324,0,2
0,2,2,24947.5388,3,5
0,2,2,25391.475,1,2
0,2,2,26011.5996,0,4
0,2,2,26438.6257,1,1
0,2,2,26827.481,0,3
0,2,2,27155.3625,0,4
0,2,2,27793.4515,0,7
0,2,2,28501.3956,2,7
0,2,2,28890.2509,1,5
0,2,2,29486.0859,3,5
0,2,2,29961.2042,1,9
0,2,2,30350.0595,0,7
0,2,2,30728.3879,2,7
0,2,2,31184.5202,0,2
0,2,2,31860.3972,0,6
0,2,2,32715.6377,0,9
0,2,2,33136.2784,3,9
0,3,2,443.9362,0,4
0,3,2,1077.8241,1,6
0,3,2,1540.6497,0,2
0,3,2,1868.5312,0,3
0,3,2,2196.4127,0,2
0,3,2,2524.2942,1,2
0,3,2,2852.1757,1,1
0,3,2,3327.2939,3,5
0,3,2,3988.821,0,7
0,3,2,4432.7572,3,5
0,3,2,5000.5114,2,4
0,3,2,5613.7255,1,6
0,3,2,6106.8445,1,1
0,3,2,6635.0208,2,7
0,3,2,7023.8761,0,5
0,3,2,7351.7576,1,5
0,3,2,8010.5904,2,10
0,3,2,8252.5919,2,10
0,3,2,8749.0155,1,5
0,3,2,9722.3695,0,2
0,3,2,10072.5734,1,3
0,3,2,10486.3364,3,5
0,3,2,10913.3625,0,4
0,3,2,11302.2178,1,6
0,3,2,11765.0434,0,2
0,3,2,12232.1166,3,5
0,3,2,12582.3205,2,4
0,3,2,13026.2566,0,7
0,3,2,13367.6826,1,5
0,3,2,13746.011,3,5
0,3,2,14134.8663,1,4
0,3,2,14523.7216,0,6
0,3,2,14982.1295,0,2
0,3,2,15540.5196,1,9
0,3,2,15928.9321,2,5
0,3,2,16256.8136,3,5
0,3,2,16970.807,2,10
0,3,2,17212.8089,2,10
0,3,2,17619.699,3,6
0,3,2,18068.171,0,3
0,3,2,18457.0263,1,1
0,3,2,18884.0524,0,4
0,3,2,19262.3808,0,2
0,3,2,19729.454,3,5
0,3,2,20156.4801,0,4
0,3,2,20614.8879,0,8
0,3,2,21387.7347,3,9
0,4,2,505.8552,0,1
0,4,2,817.2448,1,2
0,4,2,1622.0247,2,10
0,4,2,2432.1543,0,2
0,4,2,2925.2733,0,7
0,4,2,3303.6017,2,7
0,4,2,3653.8056,1,8
0,4,2,4399.5517,0,2
0,4,2,4866.6249,3,5
0,4,2,5216.8288,2,4
0,4,2,5691.9471,0,8
0,4,2,6399.965,0,6
0,4,2,6826.9911,1,9
0,4,2,7899.3031,1,3
0,4,2,8313.0661,3,5
0,4,2,8701.9214,1,6
0,4,2,9195.0404,1,1
0,4,2,9875.3828,2,5
0,4,2,10319.3189,0,2
0,4,2,10786.3922,3,5
0,4,2,11261.5104,1,1
0,4,2,12066.3608,3,5
0,4,2,12416.5647,2,6
0,4,2,13022.9795,1,7
0,4,2,13667.4072,2,10
0,4,2,14111.3434,0,7
0,4,2,14500.1987,1,5
0,4,2,15095.9809,3,5
0,4,2,15474.3093,1,5
0,4,2,15932.7171,1,1
0,4,2,16491.1073,2,8
0,4,2,17026.8179,0,2
0,4,2,18035.7739,3,9
0,5,2,782.1123,0,1
0,5,2,1109.9938,0,2
0,5,2,2894.4657,3,5
0,5,2,3308.2287,1,3
0,5,2,4022.1624,0,8
0,5,2,4845.1991,2,7
0,5,2,5635.0895,0,4
0,5,2,6279.4917,3,5
0,5,2,6772.6107,0,1
0,5,2,7647.0891,1,1
0,5,2,8392.3482,2,7
0,5,2,8836.2844,0,4
0,5,2,9260.5939,3,5
0,5,2,9687.62,0,4
0,5,2,10146.0279,0,8
0,5,2,10613.1011,3,5
0,5,2,11088.2194,1,9
0,5,2,11438.4233,0,8
0,5,2,12026.4003,0,8
0,5,2,12354.2818,1,8
0,5,2,12798.218,3,5
0,5,2,13148.4219,2,6
0,5,2,13644.8455,1,1
0,5,2,14023.0991,1,3
0,5,2,14654.3821,3,5
0,5,2,15081.4082,0,4
0,5,2,15973.8211,0,8
0,5,2,16407.3175,3,5
0,5,2,16821.0805,1,3
0,5,2,17698.0265,0,5
0,5,2,18343.0066,2,7
0,5,2,18718.7498,3,9
0,6,2,520.2227,0,7
0,6,2,964.1589,3,5
0,6,2,1457.2779,0,1
0,6,2,1982.8524,0,7
0,6,2,2344.0786,1,9
