subject_id,sentence_n,trialtime,event
0,7,16769.3578,pressed key
0,7,17213.294,pressed key
0,7,17591.6224,pressed key
0,7,18035.5586,pressed key
0,7,18493.9664,pressed key
0,7,18961.0396,pressed key
0,7,20105.1221,pressed key
0,7,20928.5101,pressed key
0,7,21170.512,pressed key
0,7,21498.3935,pressed key
0,7,21740.3946,pressed key
0,7,22068.2761,pressed key
0,7,22745.0217,pressed key
0,7,23052.231,pressed key
0,7,23294.2324,pressed key
0,7,23536.2338,pressed key
0,8,327.8815,pressed key
0,8,833.7367,pressed key
0,8,1326.8557,pressed key
0,8,1715.711,pressed key
0,8,2190.8293,pressed key
0,8,2925.6284,pressed key
0,8,3636.2824,pressed key
0,8,4412.2649,pressed key
0,8,5133.1879,pressed key
0,8,5720.4939,pressed key
0,8,6164.4301,pressed key
0,8,6514.634,pressed key
0,8,7207.3221,pressed key
0,8,7666.7604,pressed key
0,8,8172.6156,pressed key
0,8,8561.4709,pressed key
0,8,9036.5891,pressed key
0,8,9364.4706,pressed key
0,8,9890.0451,pressed key
0,8,10471.6554,pressed key
0,8,10849.9838,pressed key
0,8,11238.8391,pressed key
0,8,11617.1675,pressed key
0,8,12085.3044,pressed key
0,8,12474.1597,pressed key
0,8,12967.2787,pressed key
0,8,13345.6071,pressed key
0,8,13734.4624,pressed key
0,8,14414.8406,pressed key
0,8,14950.5513,pressed key
0,9,378.3284,pressed key
0,9,1313.8222,pressed key
0,9,1776.6477,pressed key
0,9,2243.7209,pressed key
0,9,2632.5762,pressed key
0,9,3572.7687,pressed key
0,9,4246.5037,pressed key
0,9,4739.6228,pressed key
0,9,5183.5589,pressed key
0,9,5789.7904,pressed key
0,9,6168.1188,pressed key
0,9,7065.158,pressed key
0,9,7393.0395,pressed key
0,9,8077.5867,pressed key
0,9,8504.6128,pressed key
0,9,8893.4681,pressed key
0,9,9271.7965,pressed key
0,9,9650.1249,pressed key
0,9,10146.5485,pressed key
0,9,10752.9238,pressed key
