subject_id,sentence_n,trialtime,x,y
0,2,2567.5408,3,5
0,2,3034.5124,1,8
0,2,3478.7247,0,2
0,2,4006.8487,-5,4
0,2,4224.0264,2,5
0,2,4668.3548,-6,2
0,2,4885.347,0,7
0,2,5298.7562,2,7
0,2,5678.0057,-6,5
0,2,5894.7712,3,5
0,2,6284.0386,1,2
0,2,6639.1815,1,2
0,2,6989.3854,1,2
0,2,7317.2669,1,2
0,2,7559.2681,1,2
0,2,7801.27,1,2
0,2,8043.2718,1,2
0,2,8374.3585,-5,4
0,2,8591.9113,2,10
0,2,8899.0893,2,10
0,2,9141.0906,2,10
0,2,9383.0919,2,10
0,2,9625.0933,2,10
0,2,9867.0946,2,10
0,2,10312.8713,0,1
0,2,10932.3607,-5,5
0,2,11044.54,-5,5
0,2,11477.6088,0,5
0,2,11940.5215,-6,4
0,2,12157.5137,2,7
0,2,12571.6861,0,2
0,2,13077.5761,-5,5
0,2,13294.8554,3,5
0,2,13762.0159,0,1
0,2,14255.2423,-5,5
0,2,14472.6905,0,7
0,2,14997.5823,1,9
0,2,15387.2149,-5,4
0,2,15515.5993,-5,4
0,2,15932.6393,1,9
0,2,16079.1159,1,9
0,2,16524.6111,3,5
0,2,16999.5034,2,8
0,2,17427.0582,-6,2
0,2,17643.8238,-5,4
0,2,17860.4622,-5,2
0,2,18077.1007,0,8
0,2,18455.9683,2,5
0,2,18900.2795,-6,4
0,2,19012.4589,-6,4
0,2,19229.6365,0,2
0,2,19673.6744,3,5
0,2,20140.6459,0,7
0,2,20584.0429,2,7
0,2,20963.2923,-6,5
0,2,21180.4699,0,4
0,2,21624.6822,-6,3
0,2,21841.9266,0,8
0,2,22300.3694,3,5
0,2,22767.2462,0,4
0,2,23193.9549,1,6
0,2,23583.4985,-5,5
0,2,23800.7611,0,2
0,2,24263.7001,-5,3
0,2,24480.4656,-6,5
0,2,24697.745,3,5
0,2,25164.7165,1,2
0,2,25608.9288,-5,3
0,2,25622.7443,-5,3
0,2,25839.5098,0,4
0,2,26228.6825,1,1
0,2,26655.3912,0,3
0,2,26939.6604,0,3
0,2,27372.8107,-6,3
0,2,27590.0551,0,7
0,2,28010.8878,-5,4
0,2,28123.0672,-5,4
0,2,28339.7057,2,7
0,2,28718.1611,1,5
0,2,29107.7575,-6,5
0,2,29324.396,3,5
0,2,29703.3948,1,9
0,2,30177.9697,0,7
0,2,30566.6979,2,7
0,2,30945.7895,0,2
0,2,31401.9894,-6,4
0,2,31619.2338,0,6
0,2,32077.914,-6,2
0,2,32294.997,-5,5
0,2,32512.0383,0,9
0,2,32932.7207,3,10
0,3,217.3666,0,4
0,3,661.3378,-5,2
0,3,675.1533,-5,2
0,3,688.9688,-5,2
0,3,905.7343,1,6
0,3,1295.0868,0,2
0,3,1652.829,0,2
0,3,1882.3467,0,2
0,3,2308.592,0,2
0,3,2652.6785,0,2
0,3,3069.455,3,5
0,3,3544.8848,-6,3
0,3,3762.0625,0,7
0,3,4205.9987,3,5
0,3,4650.3075,-5,5
0,3,4778.6918,-5,5
0,3,5112.6908,-5,5
0,3,5224.8702,-5,5
0,3,5442.324,1,6
0,3,5831.0921,1,1
0,3,6324.2983,2,7
0,3,6851.7863,1,5
0,3,7037.6916,1,5
0,3,7569.2267,-5,3
0,3,7786.6029,2,10
0,3,8024.4059,2,10
0,3,8469.968,1,5
0,3,8966.5256,-6,4
0,3,9078.7049,-6,4
0,3,9295.3434,-6,2
0,3,9512.4264,0,2
0,3,9850.7538,0,2
0,3,10289.8527,3,5
0,3,10703.4194,0,4
0,3,11130.128,1,6
0,3,11519.4805,0,2
0,3,11982.3227,3,5
0,3,12360.5009,3,5
0,3,12799.4981,0,7
0,3,13243.0222,1,5
0,3,13584.3211,3,5
0,3,13962.7765,1,4
0,3,14351.6319,0,6
0,3,14740.9661,0,2
0,3,15199.6396,1,9
0,3,15757.8285,3,5
0,3,15942.7476,3,5
0,3,16474.3834,-5,2
0,3,16691.7596,2,10
0,3,16984.6226,2,10
0,3,17430.185,3,5
0,3,17836.8766,0,3
0,3,18284.9365,1,1
0,3,18674.1093,0,4
0,3,19100.6909,0,2
0,3,19479.6601,3,5
0,3,19946.537,0,4
0,3,20373.7245,0,8
0,3,20832.3243,-5,5
0,3,20960.7087,-5,5
0,3,21177.8863,3,10
0,4,216.6385,0,1
0,4,618.0346,0,1
0,4,1034.7187,-5,5
0,4,1252.3096,2,10
0,4,1839.6156,-5,4
0,4,2057.1751,0,2
0,4,2649.5209,0,7
0,4,3141.9118,2,7
0,4,3431.986,2,7
0,4,3871.3755,-6,4
0,4,4088.7771,0,2
0,4,4616.831,3,5
0,4,4995.0093,3,5
0,4,5434.1082,0,8
0,4,5909.4572,-5,3
0,4,6021.6366,-5,3
0,4,6238.275,0,6
0,4,6617.0479,1,9
0,4,7044.5079,-5,5
0,4,7261.5492,-5,2
0,4,7373.7286,-5,2
0,4,7591.1768,1,3
0,4,8116.2953,3,5
0,4,8529.8316,1,6
0,4,8919.288,1,1
0,4,9412.5573,-5,5
0,4,9629.8199,2,5
0,4,10092.5605,0,2
0,4,10536.5983,3,5
